CATEGORY	TIME	INDICATOR	SOURCE	DESCRIPTION	UNIT	MAP	GRAPH	DATA	OPTIONS	ID	AFG	ALB	DZA	AND	AGO	AIA	ATG	ARG	ARM	ABW	AUS	AUT	AZE	BHS	BHR	BGD	BRB	BLR	BEL	BLZ	BEN	BMU	BTN	BOL	BIH	BWA	BRA	VGB	BRN	BGR	BFA	BDI	KHM	CMR	CAN	CPV	CYM	CAF	TCD	CHL	CHN	COL	COM	COG	COK	CRI	CIV	HRV	CUB	CYP	CZE	PRK	COD	DNK	DJI	DMA	DOM	ECU	EGY	SLV	GNQ	ERI	EST	ETH	FJI	FIN	FRA	GAB	GMB	GEO	DEU	GHA	GIB	GRC	GRD	GTM	GIN	GNB	GUY	HTI	VAT	HND	HKG	HUN	ISL	IND	IDN	IRN	IRQ	IRL	ISR	ITA	JAM	JPN	JOR	KAZ	KEN	KIR	KWT	KGZ	LAO	LVA	LBN	LSO	LBR	LBY	LIE	LTU	LUX	MAC	MDG	MWI	MYS	MDV	MLI	MLT	MHL	MRT	MUS	MEX	FSM	MCO	MNG	MNE	MSR	MAR	MOZ	MMR	NAM	NRU	NPL	NLD	ANT	NZL	NIC	NER	NGA	NIU	NOR	OMN	PAK	PLW	PSE	PAN	PNG	PRY	PER	PHL	POL	PRT	QAT	KOR	MDA	ROU	RUS	RWA	KNA	LCA	VCT	WSM	SMR	STP	SAU	SEN	SRB	SYC	SLE	SGP	SVK	SVN	SLB	SOM	ZAF	ESP	LKA	SDN	SUR	SWZ	SWE	CHE	SYR	TJK	THA	MKD	TLS	TGO	TKL	TON	TTO	TUN	TUR	TKM	TCA	TUV	UGA	UKR	ARE	GBR	TZA	USA	URY	UZB	VUT	VEN	VNM	YEM	ZMB	ZWE	GUF	ESH	TWN	GRL	EAZ	SJM	PRI	IMN	JEY	GGY	VIR	KOS	SSD	FrenchPolynesia	Guadeloupe	Guam	Martinique	Mayotte	NewCaledonia	Reunion	HongKong	ChannelIslands	FaeroeIslands	FalklandIslands	NorthernMarianaIslands	Pitcairn	SaintHelena	SaintPierreandMiquelon	WallisandFutunaIslands	WestBankandGaza
		 Internet users (per 100 people)											0					0.04	0.01		2.23	1.39	0					0	0.7								0.04			0.02		0			2.38		0			0.14	0	0.11				0.28		0.27		0.11	1.26			1.34				0.03	0.01			0	1.16		0.01	4.92	0.9				0.92			0.38	0		0						2.78	0.48	6.79	0	0	0		0.56	0.58	0.19	0.04	0.8		0			0.15										0.5	0.04			0.1	0			0			0.04											0	3.26		3.17	0.01				4.15					0.01			0.01	0.01	0.39	0.72		0.31	0	0.03	0.05												0	1.19	0.32	1.07			0.25	0.28	0	0			3.41	2.72	0		0.04			0				0.01	0.05					0.01		1.04		4.86	0.06			0.06			0.01	0				0.06			0.03				0.94																			
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1993																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0	0.02	1.28	0.01			0.33	0		3.89	2.81	0	0.89	2.12	0	0.6	0	0.67	0.2	0	5.59	0	0.04	0	0	0.12		2.97	0.01	0	0.01	0.05	0	4.65	0	4.4	0	0	0.61	0.05	0	0	0		0.14	0	0.24	0	1.87	0.14	0		6.89	0	0	0.13	0	0.01	0.03	0	0	0.48	0	0	9.66	0.99	0.12	0.05	0	2.16	0.01		0.46	0.29	0.03	0	0	0.14	0		0	4.87	0.44	6.63	0	0.03	0	0	1.71	1.29	2.12	0.63	1.72	0.04	0	0	0	3.66	0	0.01	0.15	0	0	0	0		0.03	1.28	3.93	0	0	1.73	0	0	1.37	0	0	0.37	0.42	0	3.82	0			0.03	0	0	0		0	1.42		4.03	0.01	0	0.01		8.62	0.27	0.01		0	0	0	0.07	0.16	0.15	0.04	1.01	0.87	1.07	0	0	0.01	0			0.08	0	5.18	0	0.09	0		0	0	5.44	0.06	0.33	0	0	0.1	0.66	0.08	0	0.25	0	8.86	3.74	0	0	0.71	0		0		0	0.13	0.03	0.15	0		0	0	0	3.33	3.93	0	6.1	0.16	0	0	0.86	0.01	0.04	0	0				0.78			2.62																							
		 Fixed telephone subscriptions (per 100 people)									0.19	1.26	3.79	43.87	0.47		29.61	11.73	17.32	28.97	48.18	45.47	8.2	28.1	23.21	0.21	31.53	17.71	43.56	14.43	0.37	69.19	0.73	3.18	15.45	2.89	7.2		19.75	28.18	0.23	0.26	0.04	0.43	58.29	4.02	48.9	0.22	0.07	10.89	1.43	8.9	0.9	0.74		10.99	0.67	21.57	3.23	37.98	19.07	2.36	0.09	58.95	1.14	22.33	6.89	5.52	3.77	3.1	0.31	0.4	23.45	0.25	7.15	54.59	53.67	2.91	1.61	10.87	45	0.31		45.34	20.45	2.42	0.16	0.61	5.7	0.6		2.2	50.12	14.45	54.73	0.87	0.99	6.1	3.56	32.81	39.27	42.45	8.62	47.57	7.33	12.4	0.83	2.36	20.36	8.15	0.19	27.03	14.69	0.86	0.22	5.27	63.19	23.38	54.14	34.93	0.28	0.33	12.24	4.27	0.16	40.59	4.6	0.34	9.73	8.31	5.91	98.93	2.93			3.18	0.37	0.27	4.28		0.37	50.19		44.69	1.5	0.12	0.33		54.18	7.23	1.27		3.16	9.88	0.88	3.11	2.92	1.29	11.5	32.6	22.42	37.88	11.98	11.22	15.77	0.18	29.24	16.87	15.24	4.25	56.19	1.9	9.09	0.78		14.97	0.36	37.84	16.73	26.4	1.61	0.24	9.07	36.36	0.88	0.22	11.13	1.76	67.64	61.91	4.18	4.72	3.81	16.39		0.42		6.19	15.47	4.86	19.28	6.64		1.64	0.11	15.17	26.08	47.4	0.3	56.47	16.69	7.01	2.55	9.84	0.35	1.17	0.93	1.14				31.44			30.24				53.87																			
		 Internet users (per 100 people)																0.03			1.97	0.77							0.2								0.03			0		0			1.18		0			0.07	0					0.08		0.1		0.06	0.58			0.58				0.02	0			0	0.3		0.01	2.57	0.59				0.46			0.19	0								1.33	0.19	2.67	0				0.28	0.4	0.12		0.4					0.09										0.3				0.03	0			0			0.03											0	1.97		0.63					2.78										0.13	0.45		0.25		0	0.01												0	0.76	0.13	0.41			0.11	0.13					1.72	2.17	0		0.01			0					0.01					0		0.52		2.27				0.04																																		
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1992																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0	0.02	1.31	0			0.14	0	0.03	2.84	2.21	0	0.98	1.85	0	0.31	0	0.61	0	0	3.2	0	0.02	0	0	0.02		1.51	0	0	0	0	0	3.62	0	3.61	0	0	0.47	0.01	0	0	0		0.09	0	0.13	0	1.22	0.04	0		4.08	0	0	0.1	0	0.01	0	0	0	0.16	0	0	7.67	0.76	0.03	0.02	0	1.19	0		0	0.19	0.02	0	0	0.12	0		0	3.95	0.22	5.87	0	0.02	0	0	1.24	0.75	1.38	0.32	1.39	0.04	0	0	0	2.7	0	0.01	0.04	0	0	0	0		0.01	0.29	2.78	0	0	1.04	0	0	0.91	0	0	0.27	0.35	0	0	0			0.01	0	0	0		0	1.1		2.86	0	0	0		6.6	0.24	0.01		0	0	0	0.03	0.1	0.09	0.01	0.37	0.86	0.62	0	0	0	0			0.06	0	3.63	0	0.09	0		0	0	3.76	0.03	0.17	0	0	0.03	0.46	0.01	0	0	0	7.56	3.16	0	0	0.43	0		0		0	0.1	0.02	0.11	0		0	0	0	2.43	2.62	0	4.25	0.05	0	0	0.38	0	0.01	0	0				0.31			1.67																							
		 Fixed telephone subscriptions (per 100 people)									0.21	1.3	3.49	42.95	0.44		26.52	10.72	16.77	29.9	47.11	44.46	8.33	28.86	21.53	0.21	30.69	16.99	42.43	12.75	0.29	65.78	0.56	2.92	14.48	2.49	7.01		17.69	27.04	0.21	0.22	0.04	0.43	57.31	3.15	46.54	0.2	0.07	9.36	0.96	8.15	0.89	0.71		10.11	0.65	19.94	3.13	36.33	17.59	2.4	0.1	58.11	1.08	19.3	6.36	5.01	3.47	2.99	0.33	0.39	22.28	0.25	6.66	54.46	52.49	2.77	1.43	10.71	43.39	0.31		43.44	19.04	2.3	0.16	0.6	3.92	0.61		2.02	47.7	12.46	53.88	0.75	0.89	5.14	3.85	31.36	37.53	41.67	6.97	46.8	7.43	9.27	0.83	1.87	18.29	7.57	0.19	24.99	14.71	0.69	0.22	5.29	62.53	22.56	52.68	31.97	0.3	0.32	10.89	3.74	0.15	39.19	1.72	0.32	7.33	7.52	2.96	97.54	3.09			2.56	0.39	0.23	4.03		0.36	48.97		43.79	1.25	0.12	0.32		52.93	6.62	1.06		3.22	9.36	0.83	2.86	2.71	1.02	10.27	30.28	21.55	35.67	11.67	11.05	15.36	0.18	27.87	14.3	14.45	3.93	54.53	1.92	9.08	0.73		14.08	0.34	36.61	15.44	24.67	1.56	0.24	8.95	35.29	0.76	0.23	10.39	1.67	68.32	61.41	3.89	4.84	3.1	15.67		0.38		5.75	14.55	4.41	16.86	6.41		1.38	0.16	14.67	24.42	46.1	0.3	55.21	15.6	7.1	2.3	8.85	0.21	1.1	0.92	1.16				30.19			30.56				51.89																			
		 Internet users (per 100 people)																0			1.77	0.64							0.1								0.01					0			0.92					0.04						0				0.05				0.39				0.01					0.07			1.89	0.28				0.44			0.05	0								0.85	0.05	1.54	0				0.17	0.31	0.07		0.1															0.15				0	0			0			0.02											0	1.32		0.29					2.22										0.05	0.25		0.1			0													0.47					0.04	0.08					1.5	1.75	0		0			0												0.26		1.72				0.01																																		
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1991																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0	0.02	0	0			0.08	0	0	1.68	1.49	0	0.77	1.44	0	0.19	0	0.51	0	0	2.39	0	0	0	0	0		1.14	0	0	0	0	0	2.77	0	2.13	0	0	0.27	0	0	0	0		0	0	0.04	0	0.66	0.01	0	0	3.41	0	0	0.08	0	0.01	0	0	0	0.04	0	0	6.37	0.66	0	0	0	0.66	0		0	0.15	0.01	0	0	0	0		0	3.24	0.08	5.01	0	0.01	0	0	0.9	0.5	1	0.1	1.12	0.04	0	0	0	2.15	0	0	0	0	0	0	0		0	0.29	1.31	0	0	0.69	0	0	0.6	0	0	0.23	0.18	0	0	0			0.01	0	0	0		0	0.77		2.1	0	0	0		5.5	0.19	0.01			0	0	0	0.03	0.05	0	0.13	0.84	0.38	0	0	0	0				0		0	0.09	0		0	0	2.64	0	0.03	0	0	0.02	0.28	0.01	0	0	0	6.59	2.59	0	0	0.22	0		0		0	0.03	0.01	0.09	0		0	0	0	2.25	2.2	0	2.94	0	0	0	0.08	0	0	0	0				0			0.94																							
		 Fixed telephone subscriptions (per 100 people)									0.29	1.2	3.28	41.32	0.68		21.9	9.47	16.29	29.4	46.45	43.28	8.46	29.94	19.74	0.2	29.97	16.29	40.92	11.12	0.29	64.82	0.47	2.93		2.29	6.62		14.79	25.22	0.2	0.18	0.04	0.34	56.46	2.53	45	0.18	0.07	7.85	0.71	7.75	0.86	0.69		9.66	0.65	18.57	3.17	34.34	16.53	2.44	0.1	57.25	1.02	17.51	5.55	4.74	3.17	2.4	0.34		21.43	0.27	6.2	54.25	50.97	2.7	1.06	10.28	41.42	0.31		40.89	16.8	2.22	0.18	0.59	2.21	0.62		1.87	45.12	10.88	52.67	0.66	0.71	4.27	3.72	29.62	36.7	40.58	5.53	45.85	7.5	8.82	0.83	1.76	16.1	7.47	0.17	24.31	14.7	0.75	0.16	5.34	60.11	22.01	49.63	28.87	0.31	0.3	9.71	3.44	0.15	36.57	1.44	0.31	5.99	6.85	2.71	87.83	3.09			1.98	0.38	0.2	3.88		0.35	47.86		43.33	1.14	0.12	0.3		51.57	6.18	0.98			9.03	0.79	2.76	2.43	1.02	9.32	27.16	19.93	33.61	11.33	10.47	15.01	0.16	24.79	12.25	13.57	2.54	44.19	1.85	8.76	0.63		13.3	0.33	35.52	14.33	22.88	1.51	0.24	9.11	34.03	0.72	0.23	9.82	1.62	69.13	60.54	3.92	4.75	2.72	14.47		0.28		5.33	14.14	3.99	14.85	6.29		1.33	0.16	14.21	22.93	45.17	0.29	54.23	14.41	6.93	2.02	7.91	0.19	1.06	0.86	1.17				30.06			29.08				49.32																			
		 Internet users (per 100 people)																			1.1	0.26							0.02							0	0					0			0.57																			0.19												1.4	0.14				0.25			0.05	0								0.12	0	0.51					0.06	0.21	0.04		0.04																				0			0			0.01											0	0.53							1.41										0.01	0.1		0.05																0.16					0.01	0.03					1.16	1.18	0		0			0												0.17		1.16																																						
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1990																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0	0	0	0		0	0.04	0	0	1.08	0.96	0	0.75	1.04	0	0	0	0.43	0	0	1.86	0	0	0	0	0		0.69	0	0	0	0	0	2.11	0	0	0	0	0.11	0	0	0	0		0	0	0.01	0	0.41	0	0	0	2.88	0	0	0.04	0	0.01	0	0	0	0	0	0	5.17	0.5	0	0	0	0.34	0		0	0.16	0	0	0	0	0		0	2.31	0.03	3.93	0	0.01	0	0	0.71	0.34	0.47	0	0.71	0.04	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0.22	0.62	0	0	0.48	0	0	0	0	0	0.21	0.07	0	0	0			0	0	0	0		0	0.53		1.59	0	0	0		4.64	0.15	0		0	0	0	0	0.01	0	0	0.07	0.8	0.19	0	0	0	0	0	0	0	0	0	0	0.09	0		0	0	1.71	0	0	0	0	0.02	0.14	0.01	0	0	0	5.39	1.87	0	0	0.11	0	0	0		0	0	0.01	0.06	0		0	0	0	1.86	1.95	0	2.08	0	0	0	0.04	0	0	0	0				0			0.58				0																			
		 Fixed telephone subscriptions (per 100 people)									0.31	1.16	3.09	39.45	0.68		25.81	9.28	15.8	30.11	45.55	42.02	8.59	27.26	18.95	0.2	27.82	15.34	39.21	9.23	0.3	62.41	0.35	2.69		1.91	6.29		13.62	24.66	0.18	0.14	0.03	0.33	55.3	2.34	49.3	0.17	0.07	6.54	0.59	7.25	0.79	0.67		9.14	0.6	17.17	3.18	32.08	15.72	2.48	0.1	56.63	0.97	16.4	4.71	4.85	2.84	2.34	0.35		20.44	0.26	5.82	53.54	49.41	2.19	0.67	9.89	39.62	0.3		38.86	15.79	2.14	0.19	0.59	2.21	0.63		1.8	42.72	9.59	51.2	0.58	0.6	3.9	4.07	27.84	36.15	39.33	4.45	44.6	7.32	8.25	0.75	1.69	16.09	7.15	0.16	23.27	14.58	0.77	0.45	5.16	57.53	21.12	48.12	25.9	0.27	0.28	8.71	2.89	0.14	34.17	1.06	0.29	5.26	6.22	2.53	82.89	3.04			1.63	0.35	0.17	3.74		0.32	46.61		43.23	1.12	0.12	0.3		50.29	5.78	0.76			8.69	0.73	2.65	2.59	0.98	8.63	24.03	19.32	30.9	10.59	10.12	13.97	0.14	23.78	12.3	12.2	2.52	42.45	1.87	7.61	0.59		12.49	0.33	34.94	13.47	21.05	1.5	0.24	9.01	32.41	0.7	0.23	9.02	1.58	68.33	59.08	3.99	4.53	2.34	14.22		0.28		4.6	13.5	3.72	12.71	6		1.33	0.16	13.61	21.94	44.34	0.29	53.48	13.36	6.82	1.77	7.54	0.14	1.06	0.83	1.18				29.86			27.92				45.69																			
		 Internet users (per 100 people)									0	0	0	0	0		0	0	0	0	0.59	0.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0.36	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0.4	0.05	0	0	0	0.13	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0.11	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0.33		0	0	0	0		0.71	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0.01	0	0	0	0	0.58	0.6	0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0.09	0	0.78	0	0	0	0	0	0	0	0				0			0				0																			
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1989																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0	0	0	0			0.01	0	0	0.56	0.66	0	0	0.88	0	0	0	0.31	0	0	1.25	0	0	0	0	0			0	0	0	0	0	1.26	0		0	0	0.04	0	0	0	0		0	0	0	0	0.18	0	0	0	2.41	0	0		0	0.01	0	0	0	0	0	0	3.83	0.32	0	0	0	0.2	0		0	0	0	0	0	0	0		0	1.56	0	3.13	0	0.01	0	0	0.38		0.12	0	0.4	0	0	0	0	1.09	0	0	0	0	0	0	0		0	0.18	0.39	0	0	0.22	0	0	0	0	0	0	0.01	0	0	0			0	0	0	0		0	0.38		0.86	0	0	0		3.97	0.12	0			0	0	0	0	0	0	0.03		0.09	0	0	0	0	0	0	0	0		0		0		0	0	0.89	0	0	0	0	0.01	0.08	0	0	0	0	4.1	1.1	0	0	0.07	0		0		0	0	0.01	0.03	0		0	0	0	1.46	1.71	0	1.39	0	0	0	0.02	0	0	0	0				0			0.33				0																			
		 Fixed telephone subscriptions (per 100 people)									0.31	1.13	2.93	37.04	0.67		20.98	9.59	14.96	28.62	44.03	40.66	8.31	24.56	18.24	0.18	25.58	14.31	37.29	8.32	0.29	61.09	0.35	2.56		1.65	5.98		12.1	22.46	0.17	0.14	0.03	0.33	53.67	1.96	45.26	0.16	0.06	4.98	0.5	6.66	0.72	0.68		9.06	0.58	15.81	2.9	29.71	15.09	2.51	0.09	55.52	0.86	14.04	4	4.59	2.53	2.27	0.36		19.75	0.25	5.41	51.97	47.62	2.05	0.65	9.33	36.05	0.3		37.53	12.39	1.83	0.19	0.57	2.2	0.61		1.65	40.98	8.8	49.61	0.54	0.49	3.69	3.95	25.95	34.99	37.42	3.79	43.05	7.42	7.61	0.72	1.58	15.09	6.64	0.15	22.51	14.35	0.78	0.41	5.19	54.63	19.93	46.69	22.62	0.25	0.29	7.84	2.43	0.12	32.88		0.23	5.03	5.75	2.22	78.46	2.66			1.38	0.31	0.16	3.72		0.26	45.22		42.97	1.14	0.12	0.27		49.06	5.25	0.73			8.26	0.76	2.5	2.49	0.98	8.22	22.12	19.2	27.72	9.82	10.02	13.09	0.13	19.89	9.21	8.43	2.47	40.5	1.92	7.18	0.5		11.02	0.32	33.91	12.73		1.24	0.24	8.56	30.4	0.62	0.23	8.47	1.5	67.2	57.18	4.05	4.46	2.07	13.46		0.27		4.2	13.04	3.49	11.05	5.88		1.34	0.16	12.96	20.66	43.46	0.29	52.2	12.17	6.72	1.68	7.61	0.12	0.82	0.86	1.19				29.95			23.32				44.88																			
		 Internet users (per 100 people)																																		0						0																																											0																																							0																	0																																																		0		0			0																																																				
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1988																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0	0	0	0		0	0	0	0	0.19	0.49	0	0	0.62	0	0	0	0.19	0	0		0	0	0	0	0		0	0	0	0	0	0	0.75	0		0	0	0	0	0	0	0		0	0	0	0	0.02	0	0	0	1.98	0	0		0	0.01	0	0	0	0	0	0	2.79	0.17	0	0	0	0.12	0		0	0	0	0	0	0	0		0	0.91	0	2.61	0	0.01	0	0	0.18		0.06	0	0.2	0	0	0	0	0.87	0	0	0	0	0	0	0		0	0.14	0	0	0	0.16	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0.22		0.3	0	0	0		3.62	0.1	0			0	0	0	0	0	0	0		0.05	0	0	0	0	0	0	0	0		0		0		0	0	0.38	0	0	0	0	0	0.03	0	0	0	0	2.87	0.47	0	0	0.03	0		0		0	0	0.01	0.02	0		0	0	0	0.86	0.98	0	0.83	0	0	0	0.01	0	0	0	0				0			0.25				0																			
		 Fixed telephone subscriptions (per 100 people)									0.31	1.11	2.8	35.52	0.66		17.59	10.01	14.27	25.73	42.75	39.46	7.99	23.59	17.84	0.18	23.1	13.23	35.49	6.85	0.29	58.61	0.33	2.55		1.4	5.73		11.36	21.15	0.15	0.14	0.03	0.32	51.93	1.87	42.37	0.16	0.06	4.9	0.42	6.47	0.59	0.66		8.77	0.59	14.91	3.4	27.46	14.49	2.55	0.09	54.51	0.92	11.15	3.26	3.97	2.22	2.03	0.37		19.06	0.24	4.93	49.88	45.87	1.9	0.61	8.91	34.94	0.29		36.02	9.18	1.63	0.18	0.57	2.18	0.59		1.44	38.81	8.22	48.75	0.5	0.48	3.53	4.07	23.85	34.3	35.36	3.64	41.45	7.22	7	0.69	1.48	14.04	6.35	0.16	22.02	14.02	0.74	0.4	4.91	52.02	18.6	44.68	19.46	0.23	0.27	7.25	2.07	0.11	31.78		0.24	4.81	5.31	1.93	75.59	2.63			1.21	0.31	0.16	3.74		0.22	43.98		42.19	1.15	0.12	0.26		48.01	4.84	0.61			8.28	0.78	2.34	2.34	0.97	7.79	18.67	18.69	24.49	9.14	9.7	12.28	0.12	17.19	8.18	7.51	2.45	37.42	2	7.08	0.41		10.47	0.32	32.59	12.02		1.08	0.24	8.14	28.32	0.61	0.23	8.15	1.47	66.23	55.28	4.08	4.31	1.83	13.03		0.27		3.59	13.37	3.21	9.42	5.58		1.35	0.17	12.11	18.4	41.72	0.28	50.96	11.25	6.12	1.65	7.77	0.12	0.81	0.79	1.18				28.71			22.09				43.31																			
		 Internet users (per 100 people)																																		0						0																																											0																																							0																																																																			0		0			0																																																				
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1987																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0	0	0	0		0	0	0	0	0.03	0.35	0	0	0.38	0	0	0	0.07	0	0		0	0	0	0	0		0	0	0	0	0	0	0.37	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	1.51	0	0		0	0	0	0	0	0	0	0	2.14	0.07	0	0	0	0.06	0		0	0	0	0	0	0	0		0	0.5	0	2.03	0	0	0	0	0.1		0.03	0	0.12	0	0	0	0	0.74	0	0	0	0	0	0	0		0	0.1	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0.17		0.07	0	0	0		2.87	0.07	0			0	0	0	0	0	0	0		0.02	0	0	0	0	0	0	0	0		0		0		0	0		0	0	0	0	0	0.01	0	0	0	0	2.06	0.08	0	0	0.01	0		0		0	0	0	0.01	0		0	0	0	0.91	0.51	0	0.5	0	0	0	0	0	0	0	0				0			0.11				0																			
		 Fixed telephone subscriptions (per 100 people)									0.3	1.11	2.62	34.84	0.65		14.96	9.49	13.6	22.46	41.78	38.28	7.7	22.14	16.72	0.18	21.46	12.12	33.96	5.74	0.29	56	0.33	2.59		1.16	5.51		10.43	19.51	0.14	0.14	0.03	0.32	50.66	1.66	41.28	0.15	0.04	4.63	0.35	6.12	0.53	0.5		8.44	0.58	14.12	3.6	24.9	13.92	2.59	0.09	53	0.92	9.67	2.84	3.56	2.12	1.91	0.35		18.7	0.24	4.71	47.9	44.28	1.61	0.51	8.53	34.06	0.29		34.63	7.04	1.6	0.23	0.58	2.17	0.55		1.21	36.32	7.75	47.54	0.47	0.45	3.23	4.13	22.51	33.04	33.62	3.5	40.01	6.81	6.48	0.65	1.38	13.27	6.21	0.16	21.67	13.64	0.68	0.37	4.37	49.69	17.43	43.57	17.25	0.24	0.28	6.78	1.73	0.11	30.4		0.23	4.6	5.09	1.62	73.71	2.61			1.14	0.3	0.16	3.77		0.18	42.66		41.38	1.18	0.12	0.26		46.6	3.51	0.58			8.26	0.79	2.18	2.22	0.95	7.35	16.7	18.3	20.74	8.43	9.39	11.53	0.1	12.74	6.79	6.61	2.36	36.9	1.94	6.91	0.4		9.85	0.33	31.39	11.4		0.97	0.24	7.74	26.47	0.58	0.24	8.01	1.28	65.14	53.58	4.1	4.12	1.67	12.63		0.27		2.97	13.29	3.01	7.22	5.31		1.36	0.17	11.3	16.36	39.93	0.25	49.75	10.23	5.75	1.62	7.67	0.12	0.78	0.7	1.2				27.09			20.3				40.27																			
		 Internet users (per 100 people)																																		0						0																																											0																																							0																																																																			0		0			0																																																				
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
	1986																																																																																																																																																																																																																																																							
		 Mobile cellular subscriptions (per 100 people)									0	0	0	0	0		0	0	0	0	0	0.25	0	0	0.14	0	0	0	0.04	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0.23	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	1.13	0	0	0	0	0	0	0	0	0	0	0	1.73	0.02	0	0	0	0.03	0		0	0	0	0	0	0	0		0	0.18	0	1.08	0	0	0	0	0.04		0.02	0	0.08	0	0	0	0	0.45	0	0	0	0	0	0	0		0	0.08	0	0	0	0.07	0	0	0	0	0	0	0	0	0	0			0	0	0	0		0	0.11		0	0	0	0		2.09	0.05	0			0	0	0	0	0	0	0		0.02	0	0	0	0	0	0	0	0		0		0		0	0		0	0	0	0	0	0	0	0	0	0	1.34	0	0	0	0	0		0		0	0		0	0		0	0	0	0.78	0.23	0	0.28	0	0	0	0	0	0	0	0				0							0																			
		 Fixed telephone subscriptions (per 100 people)									0.28	1.11	2.46	33.51	0.52		12.38	9.28	12.95	20.84	40.51	37.16	7.37	20.25	16.82	0.17	20.24	11.08	32.58	4.72	0.27	53.87	0.33	2.58		0.96	5.36		9.72	17.86	0.12	0.13		0.3	49.46	1.11	38.41	0.15	0.04	4.52	0.32	5.86	0.48	0.48		7.74	0.58	13.42	2.83	21.89	13.37	2.62	0.09	51.4	0.95	8.22	2.22	3.12	2.09	1.8	0.3		18.23	0.25	4.62	46.17	42.92	1.53	0.39	8.24	33.13	0.29		33.01	4.99	1.62	0.25	0.59	2.68	0.52		1.15	34.21	7.32	46.3	0.44	0.41	2.99	3.51	21.22	30.92	32.13	3.51	38.8	5.41	6.16	0.63	1.25	12.93	5.77	0.16	21.12	13.26	0.6	0.36	4.02	47.8	16.5	42.62	15.39	0.23	0.28	6.43	1.47	0.1	27.17		0.23	4.09	4.91	1.52	72.29	2.58			1.11	0.3	0.15	3.85		0.16	41.49		40.35	1.16	0.12	0.25		44.7	3.17	0.53			7.74	0.79	2.12	2.23	0.96	7	15.21	18.65	18.32	7.81	9.05	10.83	0.08	10.36	6.38	5.7	2.34	35.59	1.88	6.88	0.37		9.73	0.41	30.41	10.87		0.89	0.25	7.51	25.36	0.56	0.24	7.85	1.28	64.13	52.08	4.13	4.05	1.51	12.22		0.25		2.87	11.98	2.94	5.54	5.14		1.37	0.17	10.76	15.47	38.37	0.24	48.41	10.13	5.41	1.54	7.43	0.12	0.74	0.67	1.18				24.72			18.8				39.16																			
		 Internet users (per 100 people)																																		0						0																																											0																																							0																																																																			0		0			0																																																				
		 Fixed broadband subscriptions (per 100 people)																																																																																																																																																																																																																																																						
